NetCom Log File Opened - File Name:  MatlabNetComLogfile.txt
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:54 - NodeConnectionClient::AddStreamObject - Object CSC_L9 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:54 - NodeConnectionClient::AddStreamObject - Object CSC_L10 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:54 - NodeConnectionClient::AddStreamObject - Object CSC_L11 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:54 - NodeConnectionClient::AddStreamObject - Object CSC_L12 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:55 - NodeConnectionClient::AddStreamObject - Object CSC_L13 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:55 - NodeConnectionClient::AddStreamObject - Object CSC_L14 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:55 - NodeConnectionClient::AddStreamObject - Object CSC_L15 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:55 - NodeConnectionClient::AddStreamObject - Object CSC_L16 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:55 - NodeConnectionClient::AddStreamObject - Object CSC_L17 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:56 - NodeConnectionClient::AddStreamObject - Object CSC_L18 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:56 - NodeConnectionClient::AddStreamObject - Object CSC_L19 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:56 - NodeConnectionClient::AddStreamObject - Object CSC_L20 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:56 - NodeConnectionClient::AddStreamObject - Object CSC_L21 has been added to our stream list. Stream Type: CSC
